data_inizio,data_fine,circolo,zona_circolo,nome_gara,tipo_torneo,short_name,zona,fonte_pdf
2026-04-23,2026-04-26,IS MOLAS,6,INTERNAZIONALE D'ITALIA FEMMINILE,Campionato Internazionale,CI,6,"dilettantistica,giovanile"
2026-04-23,2026-04-26,VILLA D'ESTE,2,INTERNAZIONALE D'ITALIA MASCHILE,Campionato Internazionale,CI,2,"dilettantistica,giovanile"
2026-09-02,2026-09-04,BIELLA BETULLE,1,INTERNAZIONALE D'ITALIA MASCHILE U 16 - TROFEO T. SOLDATI,Campionato Internazionale,CI,1,"dilettantistica,giovanile"
2026-09-03,2026-09-05,VILLA CONDULMER,3,INTERNAZIONALE D'ITALIA FEMMINILE UNDER 18,Campionato Internazionale,CI,3,"dilettantistica,giovanile"
2026-03-17,2026-03-21,GOLF NAZIONALE,6,NAZIONALE FEMMINILE MATCH PLAY - TROFEO GIUSEPPE SILVA,Campionato Nazionale,CNZ,6,"dilettantistica,giovanile"
2026-03-24,2026-03-28,PAVONIERE,5,NAZIONALE MASCHILE MATCH PLAY - TROFEO GIUSEPPE SILVA,Campionato Nazionale,CNZ,5,"dilettantistica,giovanile"
2026-04-30,2026-05-02,TOLCINASCO,2,NAZIONALE FEMMINILE MID-AMATEUR - TROFEO M.P. GENNARO,Campionato Nazionale,CNZ,2,"dilettantistica,giovanile"
2026-04-30,2026-05-02,TOLCINASCO,2,NAZIONALE MASCHILE MID-AMATEUR - TROFEO M. CAMICIA,Campionato Nazionale,CNZ,2,"dilettantistica,giovanile"
2026-05-14,2026-05-16,BERGAMO ALBENZA,2,NAZIONALE MASCHILE SENIORES - TROFEO P.G. VIGLIANI,Campionato Nazionale,CNZ,2,"dilettantistica,giovanile"
2026-05-14,2026-05-16,BERGAMO ALBENZA,2,NAZIONALE FEMMINILE SENIORES,Campionato Nazionale,CNZ,2,"dilettantistica,giovanile"
2026-05-29,2026-05-31,FRANCIACORTA,2,NAZIONALE RAGAZZE MEDAL - TROFEO SILVIO MARAZZA,Campionato Nazionale,CNZ,2,"dilettantistica,giovanile"
2026-06-03,2026-06-06,ROMA ACQUASANTA,6,NAZIONALE FEMMINILE MEDAL - TROFEO ISA GOLDSCHMID,Campionato Nazionale,CNZ,6,"dilettantistica,giovanile"
2026-06-16,2026-06-18,LIGNANO,3,NAZIONALE RAGAZZI MEDAL - TROFEO SILVIO MARAZZA,Campionato Nazionale,CNZ,3,"dilettantistica,giovanile"
2026-06-30,2026-07-01,ASIAGO,3,NAZIONALE FEMMINILE BABY,Campionato Nazionale,CNZ,3,"dilettantistica,giovanile"
