"data_inizio,data_fine,circolo,nome_gara,tipo_torneo,zona,fonte_pdf"
"2026-04-23,2026-04-26,IS MOLAS,INTERNAZIONALE D'ITALIA FEMMINILE,Campionato Internazionale,6,""dilettantistica,giovanile"""
"2026-04-23,2026-04-26,VILLA D'ESTE,INTERNAZIONALE D'ITALIA MASCHILE,Campionato Internazionale,2,""dilettantistica,giovanile"""
"2026-09-02,2026-09-04,BIELLA BETULLE,INTERNAZIONALE D'ITALIA MASCHILE U 16 - TROFEO T. SOLDATI,Campionato Internazionale,1,""dilettantistica,giovanile"""
"2026-09-03,2026-09-05,VILLA CONDULMER,INTERNAZIONALE D'ITALIA FEMMINILE UNDER 18,Campionato Internazionale,3,""dilettantistica,giovanile"""
"2026-03-17,2026-03-21,GOLF NAZIONALE,NAZIONALE FEMMINILE MATCH PLAY - TROFEO GIUSEPPE SILVA,Campionato Nazionale,6,""dilettantistica,giovanile"""
"2026-03-24,2026-03-28,PAVONIERE,NAZIONALE MASCHILE MATCH PLAY - TROFEO GIUSEPPE SILVA,Campionato Nazionale,5,""dilettantistica,giovanile"""
"2026-04-30,2026-05-02,TOLCINASCO,NAZIONALE FEMMINILE MID-AMATEUR - TROFEO M.P. GENNARO,Campionato Nazionale,2,""dilettantistica,giovanile"""
"2026-04-30,2026-05-02,TOLCINASCO,NAZIONALE MASCHILE MID-AMATEUR - TROFEO M. CAMICIA,Campionato Nazionale,2,""dilettantistica,giovanile"""
"2026-05-14,2026-05-16,BERGAMO ALBENZA,NAZIONALE MASCHILE SENIORES - TROFEO P.G. VIGLIANI,Campionato Nazionale,2,""dilettantistica,giovanile"""
"2026-05-14,2026-05-16,BERGAMO ALBENZA,NAZIONALE FEMMINILE SENIORES,Campionato Nazionale,2,""dilettantistica,giovanile"""
"2026-05-29,2026-05-31,FRANCIACORTA,NAZIONALE RAGAZZE MEDAL - TROFEO SILVIO MARAZZA,Campionato Nazionale,2,""dilettantistica,giovanile"""
"2026-06-03,2026-06-06,ROMA ACQUASANTA,NAZIONALE FEMMINILE MEDAL - TROFEO ISA GOLDSCHMID,Campionato Nazionale,6,""dilettantistica,giovanile"""
"2026-06-16,2026-06-18,LIGNANO,NAZIONALE RAGAZZI MEDAL - TROFEO SILVIO MARAZZA,Campionato Nazionale,3,""dilettantistica,giovanile"""
"2026-06-30,2026-07-01,ASIAGO,NAZIONALE FEMMINILE BABY,Campionato Nazionale,3,""dilettantistica,giovanile"""
"2026-06-30,2026-07-01,ASIAGO,NAZIONALE MASCHILE BABY,Campionato Nazionale,3,""dilettantistica,giovanile"""
"2026-06-30,2026-07-04,ASOLO,NAZIONALE CADETTE,Campionato Nazionale,3,""dilettantistica,giovanile"""
"2026-06-30,2026-07-04,ASOLO,NAZIONALE CADETTI,Campionato Nazionale,3,""dilettantistica,giovanile"""
"2026-07-07,2026-07-09,FOLGARIA,NAZIONALE PULCINE,Campionato Nazionale,3,""dilettantistica,giovanile"""
"2026-07-07,2026-07-09,FOLGARIA,NAZIONALE PULCINI,Campionato Nazionale,3,""dilettantistica,giovanile"""
"2026-07-10,2026-07-11,FOLGARIA,NAZIONALE UNDER 14 A SQUADRE,Campionato Nazionale,3,""dilettantistica,giovanile"""
"2026-07-29,2026-08-01,OLGIATA,NAZIONALE MASCHILE MEDAL - TROFEO FRANCO BEVIONE,Campionato Nazionale,6,""dilettantistica,giovanile"""
"2026-08-26,2026-08-28,CASTELCONTURBIA,NAZIONALE RAGAZZE A SQUADRE - TROFEO E. PALLAVICINO,Campionato Nazionale,1,""dilettantistica,giovanile"""
"2026-08-26,2026-08-28,MARCO SIMONE,NAZIONALE RAGAZZI A SQUADRE - TROFEO E. PALLAVICINO,Campionato Nazionale,6,""dilettantistica,giovanile"""
"2026-08-26,2026-08-28,SALSOMAGGIORE TERME,QUALIFICA RAGAZZI A SQUADRE,Campionato Nazionale,4,""dilettantistica,giovanile"""
"2026-09-08,2026-09-12,ROYAL PARK ROVERI,NAZIONALE FEMMINILE A SQUADRE,Campionato Nazionale,1,""dilettantistica,giovanile"""
"2026-09-08,2026-09-12,TORINO,NAZIONALE MASCHILE A SQUADRE,Campionato Nazionale,1,""dilettantistica,giovanile"""
"2026-09-09,2026-09-11,BOLOGNA,QUALIFICA FEMMINILE A SQUADRE,Campionato Nazionale,4,""dilettantistica,giovanile"""
"2026-09-09,2026-09-11,FONTI,QUALIFICA MASCHILE A SQUADRE,Campionato Nazionale,4,""dilettantistica,giovanile"""
"2026-09-10,2026-09-11,LECCO,SELEZIONE MASCHILE A SQUADRE,Campionato Nazionale,2,""dilettantistica,giovanile"""
"2026-10-15,2026-10-19,AMBROSIANO,NAZIONALE RAGAZZE MATCH PLAY - TROFEO R. BERTOTTO,Campionato Nazionale,2,""dilettantistica,giovanile"""
"2026-10-15,2026-10-19,VILLA PARADISO,NAZIONALE RAGAZZI MATCH PLAY - TROFEO A. BROTTO,Campionato Nazionale,2,""dilettantistica,giovanile"""
"2026-02-19,2026-02-21,SAN DOMENICO - EGNAZIA,COPPA D'ORO MARIO CAMICIA,Gara Nazionale di Selezione,7,dilettantistica"
"2026-05-07,2026-05-09,MILANO,CITTA' DI MILANO - TROFEO GIANNI ALBERTINI,Gara Nazionale di Selezione,2,dilettantistica"
"2026-06-10,2026-06-12,MONTICELLO,GRAN PREMIO DI MONTICELLO,Gara Nazionale di Selezione,2,dilettantistica"
"2026-10-02,2026-10-04,MARGARA,TROFEO GLAUCO LOLLI GHETTI,Gara Nazionale di Selezione,1,dilettantistica"
"2026-11-13,2026-11-15,GARDAGOLF,GARA NAZIONALE DI SELEZIONE,Gara Nazionale di Selezione,2,dilettantistica"
"2026-02-06,2026-02-08,GARLENDA,GARA NAZIONALE 54/54 A REGOLAMENTO SPECIALE,Gara Nazionale 54/54,1,dilettantistica"
"2026-02-06,2026-02-08,VERDURA,TROFEO ROCCO FORTE,Gara Nazionale 54/54,7,dilettantistica"
"2026-02-27,2026-03-01,PUNTA ALA,GRAN PREMIO DELLA MAREMMA,Gara Nazionale 54/54,5,dilettantistica"
"2026-03-05,2026-03-07,OLGIATA,STELLA D'ORO,Gara Nazionale 54/54,6,dilettantistica"
"2026-03-13,2026-03-15,MODENA,GARA NAZIONALE 54/54,Gara Nazionale 54/54,4,dilettantistica"
"2026-04-03,2026-04-05,ROMA ACQUASANTA,COPPA D'ORO CITTÀ DI ROMA,Gara Nazionale 54/54,6,dilettantistica"
"2026-04-10,2026-04-12,FRANCIACORTA,MEMORIAL GIORGIO BORDONI,Gara Nazionale 54/54,2,dilettantistica"
"2026-04-17,2026-04-19,PARCO ROMA,COPPA DEL CASTELLO,Gara Nazionale 54/54,6,dilettantistica"
"2026-05-15,2026-05-17,LAGHI,MEMORIAL LILLO ANGELINI,Gara Nazionale 54/54,2,dilettantistica"
